Question,Answer
Aap ki shop ka naam kya hai?,Hamari shop ka naam "Gold and Jewelry Shop" hai aur iske malik Ahmad Raza sahib hain.
Dukaan ka naam batayein?,Hamari shop ka naam "Gold and Jewelry Shop" hai aur iske malik Ahmad Raza sahib hain.
Owner kaun hai?,Is shop ke malik Ahmad Raza sahib hain.
Ahmad Raza ki shop ka kya naam hai?,Ahmad Raza sahib ki shop ka naam "Gold and Jewelry Shop" hai.
Shop ka address kya hai?,Hamari shop Sarafa Bazar mein waqe hai.
Dukaan kahan par hai?,Hamari shop Sarafa Bazar mein waqe hai.
Sarafa bazar mein aap ki shop kahan hai?,Aap Sarafa Bazar aakar hamari shop "Gold and Jewelry Shop" par tashreef laa sakte hain.
Aap se rabta kaise karein?,Aap hamare phone number 0313******** par call ya WhatsApp kar sakte hain.
Contact number kya hai?,Aap hamare phone number 0313******** par call ya WhatsApp kar sakte hain.
Mobile number bata dein?,Aap hamare phone number 0313******** par call ya WhatsApp kar sakte hain.
Dukaan kab khulti hai?,Shop Monday se Thursday aur Saturday se Sunday tak khuli hoti hai. Friday ko chutti hoti hai.
Timing kya hai dukaan ki?,Shop Monday se Thursday aur Saturday se Sunday tak khuli hoti hai. Friday ko chutti hoti hai.
Kya friday ko shop open hoti hai?,Nahi, Friday ko hamari shop off (band) hoti hai.
Friday ko open hai?,Nahi, Friday ko hamari shop off (band) hoti hai.
Aap kaunse karat ka sona bechte hain?,Hum har karat (24K 22K 21K aur 18K) ka sona bechte hain.
Kya 22 karat gold mil jaye ga?,Ji haan, hamare paas har karat (including 22K, 24K, 18K) ka gold dastiyab hai.
Mazdoori kitni hoti hai?,Sone ki making charges (mazdoori) jewelry ke design ke hisab se badalti hain.
Making charges kya hain?,Sone ki making charges (mazdoori) jewelry ke design ke hisab se badalti hain.
Kya aap order par jewelry banate hain?,Ji bilkul! Hum aap ki pasand ke mutabiq order par bhi jewelry tayyar karte hain.
Custom design banwa sakte hain?,Ji bilkul! Hum aap ki pasand ke mutabiq order par bhi jewelry tayyar karte hain.
Gold rate check karne ka kya tareeqa hai?,Hamari shop par rozana market ke mutabiq sonay ka taza tareen rate bataya jata hai. Aap call kar ke bhi pooch sakte hain.
Aaj ka sone ka rate kya hai?,Sone ka rate rozana badalta hai. Taza tareen rate jaan'ne ke liye aap hamare number 0313******** par raabta kar sakte hain.
10 gram gold kitne ka hai?,Gold ka rate market ke hisab se up-down hota rehta hai. Is waqt ka live rate aap call par jaan sakte hain.
Tola ka rate kya chal raha hai?,Tola ka rate market ke mutabiq rozana subah set hota hai. Sahi maloomat ke liye dukaan par rabta karein.
Kya aap log 24 karat gold bechte hain?,Ji haan! Hamare paas 24 karat ka khalis sona har waqt dastiyab hota hai.
24K gold mil jayega aap ki shop se?,Ji bilkul, Gold and Jewelry Shop par aap ko 24 karat gold biscuits aur jewelry mil jayegi.
Ahmad Raza sahib ki shop par kaunse designs hain?,Ahmad Raza sahib ki shop par shaadi ke sets, rings, bangles, aur jhumkon ke latest designs maujood hain.
Shaadi ke liye jewelry set banwana hai?,Hum shaadi (bridal) ke mukammal jewelry sets order par bohot khubsoorat tayyar karte hain.
Rings ke designs dekhne hain?,Aap hamari shop Sarafa Bazar tashreef laayein, hum aap ko rings ke saare designs dikha denge.
Kya aap log chandi (silver) bhi bechte hain?,Hum mukammal taur par gold aur gold jewelry ka kaam karte hain, lekin special order par chandi ka kaam bhi ho jata hai.
Sone ki purity kaise check karte hain?,Hum customer ke samne computerized testing machine se sone ki purity check kar ke tasalli karwate hain.
Kya aap ke gold ki guarantee hoti hai?,Ji haan, hamari shop se liye gaye har sone par pure hone ki mukammal official raseed aur guarantee di jaati hai.
Purana sona bechne ka kya tareeqa hai?,Agar aap purana sona bech kar naya lena chahein, toh hum uski purity check kar ke market rate ke mutabiq behtareen qeemat dete hain.
Gold exchange policy kya hai aap ki?,Aap apna purana sona laa kar hamari shop se naye designs ke sath exchange kar sakte hain, kaat market ke rules ke mutabiq hoti hai.
Kya purana sona wapas lete hain?,Ji haan, hum purana sona wapas bhi lete hain aur exchange bhi karte hain.
Jewelry ki mazdoori fix hoti hai?,Nahi, har jewelry ka design alag hota hai is liye mazdoori (making charges) design ki bariki ke hisab se tay hoti hai.
Karat kam hone se mazdoori badalti hai?,Mazdoori ka taluq karat se nahi balkay design ki mehnat aur bariki se hota hai.
Kya credit card se payment ho sakti hai?,Ji bilkul, hamari shop par cash ke sath sath credit card aur online bank transfer ki sahulat bhi maujood hai.
Online bank transfer accept karte hain?,Ji haan, aap online banking ya bank transfer ke zariye bhi payment kar sakte hain.
Dukaan par aane ke liye appointment chahiye?,Aap bina appointment ke bhi Monday se Sunday (Friday ke ilawa) kisi bhi waqt Sarafa Bazar aa sakte hain.
Kya Ahmad Raza sahib shop par maujood hote hain?,Ji haan, Ahmad Raza sahib aksar auqat shop par hi maujood hote hain aur customers ko khud deal karte hain.
Shop ka poora naam dubara bata dein?,Shop ka poora naam "Gold and Jewelry Shop" hai.
Aap ki shop kab se chal rahi hai?,Hamari shop Sarafa Bazar mein ek purani aur mutamad (trusted) shop hai jo saalon se khalis sone ka kaam kar rahi hai.
Customized design mein kitna waqt lagta hai?,Order par jewelry banwane mein design ke hisab se 1 se 2 hafte ka waqt lag sakta hai.
Kya aap log delivery bhi karte hain?,Sone ki security ki wajah se hum sirf shop par hi dealing karte hain, home delivery ki sahulat nahi hai.
Ahmad raza sb ki shop ka off kab hota hai?,Shop Monday se Thursday aur Saturday se Sunday tak khuli hoti hai. Friday ko chutti hoti hai.
Kya juma ko dukaan khuli hoti hai?,Nahi, Friday ko hamari shop off (band) hoti hai.
Juma ke din timing kya hai?,Friday ko hamari shop mukammal band hoti hai, baki din khuli hoti hai.
Ahmad Raza ki shop juma ko open hoti hai?,Nahi, Ahmad Raza sahib ki shop Friday (Juma) ko off hoti hai.
Aap ki shop Sarafa Bazar mein kis jagah waqe hai?,Hamari shop Sarafa Bazar mein waqe hai. Aap market aakar "Gold and Jewelry Shop" ka pooch sakte hain.
Sarafa Bazar wali dukaan ka rasta bata dein?,Aap Sarafa Bazar aakar hamari shop "Gold and Jewelry Shop" par tashreef laa sakte hain ya 0313******** par call kar lein.
Address kya hai aap ki gold shop ka?,Hamari shop Sarafa Bazar mein waqe hai.
